,AUC,PR_AUC,BestF1,MCC,Recall,Brier,LogLoss,MeanRank
XGB (single),0.8655096847165276,0.3217255233755894,0.4129032258064516,0.3827950687719926,0.48484848484848486,0.051503015308493126,0.17799041185629186,2.7142857142857144
XGB + Platt,0.8443140581554268,0.29287099605143796,0.41025641025641024,0.38014107324532254,0.48484848484848486,0.03963994238557285,0.15363452220087678,3.2857142857142856
XGB (5-seed avg),0.8664051086290588,0.3135554038766548,0.4032258064516129,0.3755278379908135,0.3787878787878788,0.05154677044972122,0.17796017077589676,3.857142857142857
Ensemble (weighted),0.8649441538244026,0.3226728838858182,0.39751552795031053,0.3674594313919736,0.48484848484848486,0.05269518903183544,0.18191949572889118,4.285714285714286
Ensemble (equal),0.8646967340590981,0.324702610586108,0.39751552795031053,0.3674594313919736,0.48484848484848486,0.05297689602087093,0.1827252667448583,4.714285714285714
CatBoost,0.8646378245911682,0.32822093740636044,0.39520958083832336,0.36646287668117533,0.5,0.06238394941262298,0.20975435436203582,5.0
XGB + Isotonic,0.8434893256044111,0.26356278030931424,0.3764705882352941,0.3468046957916058,0.48484848484848486,0.040946550026852255,0.1545912518444019,5.428571428571429
LightGBM,0.8500400584381922,0.28553658761366296,0.36257309941520466,0.33183661693406574,0.4696969696969697,0.052455931149279524,0.18193713886423182,6.714285714285714
