threshold,defects,pct
0.001,339,100.0
0.002,339,100.0
0.003,336,99.11504424778761
0.004,311,91.74041297935104
0.005,289,85.25073746312684
0.006,267,78.76106194690266
0.007,248,73.15634218289085
0.008,227,66.96165191740413
0.009000000000000001,218,64.30678466076697
0.010000000000000002,206,60.766961651917406
0.011,199,58.70206489675516
0.012,193,56.932153392330385
0.013000000000000001,188,55.45722713864307
0.014000000000000002,182,53.68731563421829
0.015,177,52.21238938053097
0.016,173,51.03244837758112
0.017,170,50.147492625368734
0.018000000000000002,164,48.37758112094395
0.019000000000000003,162,47.78761061946903
0.02,159,46.902654867256636
0.021,158,46.607669616519175
0.022000000000000002,154,45.42772861356932
0.023,152,44.8377581120944
0.024,149,43.95280235988201
0.025,148,43.657817109144545
0.026000000000000002,147,43.36283185840708
0.027000000000000003,147,43.36283185840708
0.028,143,42.182890855457224
0.029,140,41.29793510324484
0.030000000000000002,138,40.70796460176991
0.031,136,40.117994100294986
0.032,134,39.528023598820056
0.033,133,39.233038348082594
0.034,131,38.64306784660767
0.035,130,38.34808259587021
0.036000000000000004,128,37.75811209439528
0.037000000000000005,128,37.75811209439528
0.038,127,37.46312684365782
0.039,126,37.16814159292036
0.04,124,36.57817109144543
0.041,122,35.9882005899705
0.042,120,35.39823008849557
0.043000000000000003,118,34.80825958702065
0.044000000000000004,118,34.80825958702065
0.045,116,34.21828908554572
0.046,115,33.92330383480826
0.047,115,33.92330383480826
0.048,115,33.92330383480826
0.049,113,33.333333333333336
0.05,111,32.743362831858406
0.051000000000000004,109,32.15339233038348
0.052000000000000005,108,31.858407079646017
0.053000000000000005,107,31.563421828908556
0.054,104,30.678466076696164
0.055,103,30.383480825958703
0.056,103,30.383480825958703
0.057,102,30.088495575221238
0.058,102,30.088495575221238
0.059000000000000004,102,30.088495575221238
0.060000000000000005,102,30.088495575221238
0.061,102,30.088495575221238
0.062,102,30.088495575221238
0.063,102,30.088495575221238
0.064,102,30.088495575221238
0.065,101,29.793510324483776
0.066,100,29.49852507374631
0.067,99,29.20353982300885
0.068,97,28.613569321533923
0.069,97,28.613569321533923
0.07,97,28.613569321533923
0.07100000000000001,97,28.613569321533923
0.07200000000000001,96,28.31858407079646
0.07300000000000001,95,28.023598820058996
0.074,95,28.023598820058996
0.075,94,27.728613569321535
0.076,92,27.13864306784661
0.077,92,27.13864306784661
0.078,92,27.13864306784661
0.079,92,27.13864306784661
0.08,92,27.13864306784661
0.081,90,26.548672566371682
0.082,90,26.548672566371682
0.083,89,26.253687315634217
0.084,89,26.253687315634217
0.085,88,25.958702064896755
0.08600000000000001,88,25.958702064896755
0.08700000000000001,87,25.663716814159294
0.08800000000000001,86,25.36873156342183
0.089,86,25.36873156342183
0.09,84,24.778761061946902
0.091,83,24.48377581120944
0.092,83,24.48377581120944
0.093,83,24.48377581120944
0.094,83,24.48377581120944
0.095,82,24.188790560471976
0.096,82,24.188790560471976
0.097,82,24.188790560471976
0.098,82,24.188790560471976
0.099,82,24.188790560471976
0.1,82,24.188790560471976
